epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,134586,1.19669,2.11266,1.10576,1.02604,0.6933,0.63532,0.66614,0.44775,0.66886,0.60942,0.63053,0.35359,1.0167,1.82351,0.92321,0.95185,0.002278,0.002278,0.002278
41,138428,1.19877,2.08809,1.03936,1.01522,0.6913,0.63843,0.6672,0.44851,0.66932,0.60965,0.63118,0.3541,1.01549,1.82173,0.92056,0.95133,0.00208,0.00208,0.00208
42,142047,1.1921,2.06957,1.02076,1.01151,0.69384,0.63951,0.66816,0.44978,0.67162,0.60908,0.63248,0.35511,1.01441,1.81929,0.91751,0.95086,0.001882,0.001882,0.001882
43,145184,1.18343,2.05355,1.01033,1.00797,0.69469,0.64004,0.66919,0.45085,0.67277,0.61067,0.63384,0.35587,1.01381,1.81701,0.91483,0.95073,0.001684,0.001684,0.001684
44,148254,1.17779,2.04292,0.99956,1.00593,0.69719,0.63854,0.67022,0.45166,0.6753,0.61063,0.63547,0.35689,1.01279,1.81483,0.9123,0.95022,0.001486,0.001486,0.001486
45,151402,1.17076,2.02782,0.98676,1.0022,0.6996,0.63786,0.67112,0.45272,0.67805,0.61046,0.63686,0.35806,1.01182,1.81268,0.90973,0.94966,0.001288,0.001288,0.001288
46,154415,1.16709,2.01794,0.97737,1.00129,0.69804,0.64185,0.67189,0.45358,0.67773,0.61059,0.63763,0.35879,1.011,1.8107,0.90757,0.94918,0.00109,0.00109,0.00109
47,157107,1.1616,2.0071,0.96933,0.99794,0.69956,0.641,0.6727,0.4544,0.67918,0.61063,0.63852,0.35938,1.01037,1.80877,0.90536,0.94883,0.000892,0.000892,0.000892
48,159905,1.15458,1.9928,0.95828,0.9952,0.70191,0.63908,0.67367,0.45523,0.68103,0.61113,0.63968,0.35998,1.0096,1.80772,0.90346,0.94832,0.000694,0.000694,0.000694
49,162576,1.14884,1.98421,0.94821,0.99191,0.69987,0.6422,0.67441,0.45604,0.68278,0.61068,0.64065,0.36053,1.00893,1.80558,0.90177,0.94787,0.000496,0.000496,0.000496
50,165365,1.14388,1.97611,0.93939,0.99023,0.69935,0.64445,0.67516,0.45679,0.68604,0.61045,0.64148,0.36143,1.00825,1.80376,0.9003,0.94727,0.000298,0.000298,0.000298
